periodo,valor
2020-8-27,6.15
2020-8-28,6.15
2020-8-31,6.15
2020-9-01,6.05
2020-9-02,6.05
2020-9-03,6.05
2020-9-04,6.05
2020-9-07,6.05
2020-9-08,6.05
2020-9-09,6.05
2020-9-10,6.05
2020-9-11,6.05
2020-9-14,6.05
2020-9-15,6.05
2020-9-16,6.05
2020-9-17,6.05
2020-9-18,6.05
2020-9-21,6.05
2020-9-22,5.95
2020-9-23,5.95
2020-9-24,5.95
2020-9-25,5.95
2020-9-27,5.95
2020-9-28,5.95
2020-9-29,5.95
2020-10-12,5.95
2020-10-13,5.95
2020-10-14,5.95
2020-10-15,5.95
2020-10-16,5.95
2020-10-19,5.95
2020-10-20,6.05
2020-10-21,6.05
2020-10-22,6.05
2020-10-23,6.05
2020-10-26,6.15
2020-10-27,6.15
2020-10-28,6.15
2020-10-29,6.15
2020-10-30,6.15
2020-11-02,6.15
2020-11-03,6.15
2020-11-04,6.15
2020-11-05,6.15
2020-11-06,6.15
2020-11-09,6.15
2020-11-10,6.15
2020-11-11,6.15
2020-11-12,6.15
2020-11-13,6.15
2020-11-16,6.15
2020-11-17,6.15
2020-11-18,6.15
2020-11-19,6.15
2020-11-20,6.15
2020-11-23,6.15
2020-11-24,6.25
2020-11-25,6.25
2020-11-26,6.25
2020-11-27,6.25
2020-11-30,6.25
2020-12-01,6.25
2020-12-02,6.25
2020-12-03,6.25
2020-12-04,6.25
2020-12-07,6.25
2020-12-08,6.25
2020-12-09,6.25
2020-12-10,6.25
2020-12-11,6.25
2020-12-14,6.25
2020-12-15,6.25
2020-12-16,6.25
2020-12-17,6.25
2020-12-18,6.25
2020-12-21,6.25
2020-12-22,6.25
2020-12-23,6.25
2020-12-24,6.25
2020-12-25,6.35
2020-12-28,6.35
2020-12-29,6.35
2020-12-30,6.35
2020-12-31,6.35
2021-1-04,6.35
2021-1-05,6.35
2021-1-06,6.35
2021-1-07,6.35
2021-1-08,6.35
2021-1-11,6.35
2021-1-12,6.35
2021-1-13,6.35
2021-1-14,6.35
2021-1-15,6.45
2021-1-18,6.55
2021-1-19,6.65
2021-1-20,6.75
2021-1-21,6.85
2021-1-22,6.85
2021-1-25,7.05
2021-1-26,7.05
2021-1-27,7.05
2021-1-28,7.05
2021-1-29,7.05
2021-2-01,7.05
2021-2-02,7.05
2021-2-03,7.05
2021-2-04,7.05
2021-2-05,7.05
2021-2-22,7.15
2021-2-23,7.35
2021-2-24,7.55
2021-2-25,7.75
2021-2-26,7.95
2021-3-01,8.15
2021-3-02,8.15
2021-3-03,8.25
2021-3-04,8.25
2021-3-05,8.25
2021-3-08,8.25
2021-3-09,8.25
2021-3-10,8.25
2021-3-11,8.25
2021-3-12,8.25
2021-3-15,8.25
2021-3-16,8.25
2021-3-17,8.25
2021-3-18,8.25
2021-3-19,8.45
2021-3-22,8.45
2021-3-23,8.45
2021-3-24,8.65
2021-3-25,8.65
2021-3-26,8.65
2021-3-29,8.65
2021-3-30,8.65
2021-3-31,8.65
2021-4-01,8.65
2021-4-02,8.85
2021-4-06,8.85
2021-4-07,8.85
2021-4-08,8.85
2021-4-09,8.85
2021-4-12,8.85
2021-4-13,8.85
2021-4-14,8.85
2021-4-15,8.85
2021-4-16,8.85
2021-4-19,8.85
2021-4-20,8.85
2021-4-21,8.85
2021-4-22,8.85
